NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
Tom Byrum,50,72.018,281.4,71.75,65.16,-0.077,-0.765,-0.842,792,,,2007,"$201,508",USA
Tom Johnson,74,71.865,288.4,64.57,64.51,-0.372,-0.443,-0.815,826,,,2007,"$190,926",USA
Tom Lehman,62,70.667,284.6,64.01,68.19,-0.355,0.656,0.302,"3,702",3,,2007,"$880,824",USA
Tom Pernice Jr.,104,70.659,281.4,66.83,61.86,0.324,0.313,0.637,"3,679",2,,2007,"$927,408",USA
Tommy Armour III,81,71.133,285.7,70.17,69.84,0.019,0.138,0.157,"2,973",2,,2007,"$919,134",USA
Trevor Immelman,74,70.731,286.6,64.85,65.52,-0.253,0.735,0.482,"6,931",4,,2007,"$1,801,647",RSA
Tripp Isenhour,86,71.635,287.1,64.37,60.57,0.161,-0.675,-0.514,"2,099",1,,2007,"$471,980",USA
Troy Matteson,87,70.951,296.6,59.92,63.54,0.169,0.147,0.316,"6,502",3,,2007,"$1,282,421",USA
Vaughn Taylor,91,70.561,283.6,64.2,64.18,0.237,0.269,0.506,"5,447",3,,2007,"$1,313,353",USA
Vijay Singh,102,69.489,293.8,59.66,66.22,-0.023,1.402,1.379,"21,193",7,2,2007,"$4,728,376",FIJ
Will MacKenzie,100,70.718,291.4,62.11,66.17,-0.173,0.516,0.342,"4,831",3,,2007,"$1,116,507",USA
Woody Austin,95,70.419,286.1,63.32,65.5,-0.208,0.527,0.319,"13,240",3,1,2007,"$2,887,596",USA
Zach Johnson,76,69.906,280.4,73.05,64.44,0.659,0.415,1.074,"19,214",5,2,2007,"$3,922,338",USA
Aaron Baddeley,76,70.196,290.3,59.45,62.02,0.762,0.123,0.885,"11,250",3,,2008,"$1,665,587",AUS
Adam Scott,51,70.06,302.1,54.66,63.72,-0.44,1.299,0.859,"11,777",3,1,2008,"$1,979,160",AUS
Alejandro Cañizares,52,71.151,287.1,62.36,62.37,0.1,-0.527,-0.426,497,,,2008,"$162,115",ESP
Alex Cejka,75,71.096,282.7,65.42,63.12,-0.444,0.434,-0.01,"3,802",4,,2008,"$893,998",GER
Andres Romero,69,70.816,299.1,52.83,58.79,0.008,-0.414,-0.406,"15,609",3,1,2008,"$2,064,612",ARG
Anthony Kim,81,69.279,300.9,58.34,65.78,0.362,1.117,1.479,"30,847",8,2,2008,"$4,656,265",USA
Bart Bryant,81,70.205,279.5,73.87,64.88,-0.004,0.693,0.689,"11,356",2,,2008,"$1,719,153",USA
Ben Crane,86,70.155,287.8,67.64,65.76,0.745,0.135,0.88,"10,578",4,,2008,"$1,488,505",USA
Ben Curtis,80,69.981,284.7,67.2,63.45,0.321,0.44,0.761,"20,956",5,,2008,"$2,615,798",USA
Bill Haas,99,70.638,296.7,59.95,68.07,0.09,0.3,0.391,"7,384",2,,2008,"$1,000,939",USA
Billy Andrade,71,71.967,283.3,59.35,63.52,-0.311,-0.653,-0.963,949,,,2008,"$243,490",USA
Billy Mayfair,103,70.512,284,72.16,68.12,-0.228,0.605,0.377,"16,805",4,,2008,"$1,750,683",USA
Bo Van Pelt,101,70.956,292,62.06,67.3,-0.149,0.13,-0.019,"7,006",1,,2008,"$903,967",USA
Bob Estes,90,70.742,282.6,66.48,68.69,0.146,0.352,0.498,"2,423",2,,2008,"$829,395",USA
Bob Sowards,61,71.967,287.9,60.89,63.43,0.101,-0.948,-0.847,920,1,,2008,"$263,327",USA
Bob Tway,70,70.262,279.2,67.34,67.36,0.822,0.09,0.912,"2,615",1,,2008,"$785,641",USA
Boo Weekley,86,70.414,291.7,64.75,67.87,-0.498,1.048,0.55,"14,342",5,1,2008,"$2,398,751",USA
Brad Adamonis,87,71.079,289.9,58.1,65.86,-0.332,0.132,-0.2,"3,707",3,,2008,"$862,413",USA
Brad Elder,67,71.547,289.8,61.67,64.94,0.267,-0.673,-0.406,212,1,,2008,"$270,365",USA
Brandt Jobe,52,71.078,298.8,56.35,66.45,-0.107,-0.117,-0.224,940,,,2008,"$293,214",USA
Brandt Snedeker,85,70.506,280.8,60.51,63.36,0.122,0.161,0.282,"12,211",5,,2008,"$1,531,442",USA
Brenden Pappas,66,70.977,294.9,57.49,65.28,0.335,-0.368,-0.033,962,1,,2008,"$384,072",RSA
Brett Quigley,80,70.897,287.5,61.76,64.53,0.102,0.324,0.426,"7,353",2,,2008,"$878,216",USA
Brett Rumford,72,72.023,282.7,56.04,61.52,-0.332,-0.54,-0.873,"1,624",1,,2008,"$386,419",AUS
Brian Davis,108,70.718,277.7,72.47,65.23,-0.08,0.385,0.305,"10,431",2,,2008,"$1,151,558",ENG
Brian Gay,102,70.015,270.5,71.74,63.71,0.511,0.205,0.716,"11,465",6,1,2008,"$2,205,513",USA
Briny Baird,113,70.187,285.2,66.03,70,-0.231,0.931,0.7,"15,865",3,,2008,"$2,039,808",USA
Bubba Watson,97,70.789,315.1,55.16,67.6,-0.385,0.904,0.518,"14,850",3,,2008,"$1,533,523",USA
Cameron Beckman,87,71.238,281.9,67.64,65.82,-0.282,0.171,-0.111,"1,262",2,1,2008,"$1,312,837",USA
Camilo Villegas,79,69.49,293.3,58.15,64.6,0.088,1.166,1.254,"34,541",7,2,2008,"$4,422,641",COL
